,Name,Album,Artist,mood
36,Happier,÷ (Deluxe),Ed Sheeran,Disgusted
37,Get to Me,Get to Me,Emma Charles,Disgusted
38,Skin,Skin,Sabrina Carpenter,Disgusted
39,Self Destructive,Self Destructive,Julia Rizik,Disgusted
40,On The Low,On The Low,Wovy,Disgusted
41,7 Years,Lukas Graham,Lukas Graham,Disgusted
42,Oxygen,Welcome To Jupiter 1.0,Grace Gaustad,Disgusted
43,slower,slower,Tate McRae,Disgusted
44,What I Need,What I Need,ORYL,Disgusted
45,drivers license,drivers license,Olivia Rodrigo,Disgusted
46,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,Disgusted
47,Half A Man,A Place We Knew,Dean Lewis,Disgusted
48,1-800-273-8255,Everybody,Logic,Disgusted
49,Amen,Amen,John Adams,Disgusted
50,Let It Go,Chaos And The Calm,James Bay,Disgusted
51,lovely (with Khalid),lovely (with Khalid),Billie Eilish,Disgusted
52,changes,?,XXXTENTACION,Disgusted
53,"i hate u, i love u (feat. olivia o'brien)",us,gnash,Disgusted
54,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Disgusted
55,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Disgusted
56,Too Late For Sorries,Too Late For Sorries,Wovy,Disgusted
57,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith,Disgusted
58,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,Disgusted
59,Lost Without You,Lost Without You,Freya Ridings,Disgusted
60,Sweater Weather,Sweater Weather,ORYL,Disgusted
61,Dead End,Dead End,Jan Metternich,Disgusted
62,Be Alright,A Place We Knew,Dean Lewis,Disgusted
63,Can We Kiss Forever?,Can We Kiss Forever?,Kina,Disgusted
64,Circles,Start as You Mean to Go On,Iann Brennan,Disgusted
65,Say Something,Is There Anybody Out There?,A Great Big World,Disgusted
66,If The World Was Ending,If The World Was Ending,JP Saxe,Disgusted
67,my future,my future,Billie Eilish,Disgusted
68,Nude,In Rainbows,Radiohead,Disgusted
69,At My Worst,The Prelude,Pink Sweat$,Disgusted
70,Fix You,X&Y,Coldplay,Disgusted
71,ANXIOUS,ANXIOUS,Josh A,Disgusted
72,XO,i think you think too much of me,EDEN,Disgusted
73,Coaster,American Teen,Khalid,Disgusted
74,Not About Angels,Not About Angels,Birdy,Disgusted
75,Let Her Go,All The Little Lights,Passenger,Disgusted
76,Save Your Tears,After Hours,The Weeknd,Disgusted
77,Breathe Me,Colour The Small One,Sia,Disgusted
78,Broken,Broken,Lund,Disgusted
79,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Disgusted
80,Let You Down,Perception,NF,Disgusted
81,Coaster,Coaster,Khalid,Disgusted
82,Say You Won't Let Go,Back from the Edge,James Arthur,Disgusted
83,Let Her Go - Acoustic,All The Little Lights,Passenger,Disgusted
84,Moonlight,YOU,Ali Gatie,Disgusted
85,Stay,Unapologetic (Deluxe),Rihanna,Disgusted
86,You're Beautiful,Back to Bedlam,James Blunt,Disgusted
87,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,Disgusted
88,Breakeven,The Script,The Script,Disgusted
89,Yellow,Parachutes,Coldplay,Disgusted
90,Feel,Escapology,Robbie Williams,Disgusted
91,How to Save a Life,How To Save A Life,The Fray,Disgusted
92,you broke me first,you broke me first,Tate McRae,Disgusted
93,Bigger Than Me,The Show Is Over,Baker Grace,Disgusted
94,No Surprises,OK Computer,Radiohead,Disgusted
95,Heart of Gold - 2009 Remaster,Harvest (2009 Remaster),Neil Young,Disgusted
96,All of Me,Love In The Future (Expanded Edition),John Legend,Disgusted
97,you were good to me (bonus track),love is not dying,Jeremy Zucker,Disgusted
98,the remedy for a broken heart (why am I so in love),?,XXXTENTACION,Disgusted
99,Lie,Perception,NF,Disgusted
